Animal type;Country;Weight kg;Body Length cm;Gender;Animal code;Latitude;Longitude;Animal name;Observation date;Data compiled by
;;;;;;;;;03.01.2024;james johnson
;;;;;;;;;03.02.2024;james johnson
european bison;poland;930;335;male;;52.828845;23.820144;szefu;01.03.2024;anne anthony
european bison;poland;909;311;not determined;;52.830509;23.826849;;01.03.2024;anne anthony
european bison™;poland;581;277;female;;52.834109;23.807093;;01.03.2024;anne anthony
european bisson;poland;900;295;male;;52.834759;23.817201;;01.03.2024;anne anthony
european buster;poland;620;250;female;;52.834960;23.820750;;01.03.2024;anne anthony
lynx;hungary;24;76;male;;48.505494;20.551966;;01.03.2024;anne anthony
lynx?;hungary;23;82;female;;48.506529;20.554548;;01.03.2024;anne anthony
red squirel;poland;0.308;22;female;;52.241273;21.055745;basia;01.03.2024;anne anthony
red squirrel;pl;0.348;20;female;;52.242060;21.057802;;01.03.2024;anne anthony
red squirrel;poland;0.316;20;male;;52.240035;21.056188;lolek;01.03.2024;anne anthony
red squirrel;poland;0.34;21;;;52.240284;21.051948;;01.03.2024;anne anthony
red squirrel;poland;0.333;21;male;;;;;01.03.2024;anne anthony
red squirrel;poland;0.265;19;female;;52.240560;21.055899;;01.03.2024;anne anthony
red squirrel;poland;;;male;;52.241177;21.052873;;01.03.2024;anne anthony
red squirrel;pl;0.261;22;female;;52.240833;21.052093;;01.03.2024;anne anthony
red squirrel;poland;0.317;23;male;;52.241358;21.056352;;01.03.2024;anne anthony
red squirrel;poland;0.328;21;male;;52.241905;21.050727;;01.03.2024;anne anthony
red squirrel;hungary;0.305;21;male;;47.511401;18.949119;;01.03.2024;anne anthony
red squirrell;poland;0.328;23;male;;52.241920;21.056347;;01.03.2024;anne anthony
red squirrel;germany;0.294;19;male;;;;;01.03.2024;bob bobson
red squirrel;germany;0.25;19;female;;;;;01.03.2024;bob bobson
red squirrel;germany;0.262;21;male;;;;;01.03.2024;bob bobson
red squirrel;germany;0.267;21;female;;;;;01.03.2024;bob bobson
red squirrel;germany;0.269;22;male;;;;;01.03.2024;bob bobson
red squirrel;germany;0.308;22;female;;;;;01.03.2024;bob bobson
red squirrel;germany;0.308;19;male;;;;;01.03.2024;bob bobson
red squirrel;germany;0.27;20;male;;;;;01.03.2024;bob bobson
red squirrel;germany;0.32;20;male;;;;;01.03.2024;bob bobson
red squirrel;germany;0.262;20;male;;;;;01.03.2024;bob bobson
red squirrel;germany;0.256;21;male;;;;;01.03.2024;bob bobson
red squirrel;germany;0.245;22;male;;;;;01.03.2024;bob bobson
red squirrel;germany;0.292;19;male;;;;;01.03.2024;bob bobson
red squirrel;germany;0.289;19;female;;;;;01.03.2024;bob bobson
red squirrel;germany;0.308;22;male;;;;;01.03.2024;bob bobson
european bison;slovakia;420;182;male;;49.054684;22.417189;;01.03.2024;john johnson
european bison;slovakia;511;266;female;;49.053629;22.421831;;01.03.2024;john johnson
european bison;slovakia;814;288;male;;49.053489;22.415229;;01.03.2024;john johnson
european bison;slovakia;130;141;female;;49.054166;22.422852;;01.03.2024;john johnson
european bison;slovakia;390;180;female;;49.052731;22.422675;;01.03.2024;john johnson
european bison;slovakia;355;179;male;;49.055974;22.415985;;01.03.2024;john johnson
european bison;slovakia;566;272;female;;49.053342;22.423867;;01.03.2024;john johnson
european bison;slovakia;393;152;not determined;;49.056471;22.422475;;01.03.2024;john johnson
european bison™;czech republic;823;286;male;;50.636564;14.834553;;01.03.2024;john johnson
european bison™;slovakia;695;316;male;;49.055537;22.419428;;01.03.2024;john johnson
hedgehog;czech republic;0.6;20;female;;50.636869;14.844555;;01.03.2024;john johnson
hedgehog;czech republic;0.6;-16;male;;50.644733;14.835753;;01.03.2024;john johnson
hedgehog;czech republic;1.2;31;male;;50.635766;14.844247;;01.03.2024;john johnson
red squirrel;slovakia;0.275;23;male;;48.185353;17.08322;;01.03.2024;john johnson
wedgehod;czech republic;0.9;22;male;;50.642843;14.841240;;01.03.2024;john johnson
lynx;hungary;23;78;female;;48.504128;20.568479;;02.03.2024;anne anthony
lynx?;poland;29;94;male;;52.809851;23.858071;;02.03.2024;anne anthony
red squirrel;germany;0.244;22;female;;;;;02.03.2024;bob bobson
red squirrel;germany;0.299;21;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.284;20;female;;;;;02.03.2024;bob bobson
red squirrel;germany;0.289;20;female;;;;;02.03.2024;bob bobson
red squirrel;germany;0.284;21;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.314;22;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.262;19;female;;;;;02.03.2024;bob bobson
red squirrel;germany;0.258;20;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.297;21;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.255;22;female;;;;;02.03.2024;bob bobson
red squirrel;germany;0.28;22;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.293;22;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.295;20;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.28;20;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.281;20;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.245;21;female;;;;;02.03.2024;bob bobson
red squirrel;germany;0.283;21;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.27;19;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.315;22;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.254;17;female;;;;;02.03.2024;bob bobson
red squirrel;germany;0.249;19;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.298;21;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.314;19;female;;;;;02.03.2024;bob bobson
red squirrel;germany;0.251;19;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.293;20;female;;;;;02.03.2024;bob bobson
red squirrel;germany;0.301;20;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.271;17;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.275;20;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.304;21;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.308;20;male;;;;;02.03.2024;bob bobson
red squirrel;germany;0.24;21;male;;;;;02.03.2024;bob bobson
european bison;czech;402;162;female;;50.641008;14.836529;;02.03.2024;john johnson
european bison;czech republic;535;295;male;;50.643406;14.836495;;02.03.2024;john johnson
european buster;czech republic;572;251;female;;50.638945;14.845452;;02.03.2024;john johnson
hedgehog;czech republic;0.9;20;female;;50.639869;14.849702;;02.03.2024;john johnson
hedgehog;czech republic;0.7;16;female;;50.643039;14.840662;;02.03.2024;john johnson
hedgehog;czech republic;0.7;14;female;;50.637879;14.838429;;02.03.2024;john johnson
hedgehog;czech republic;1.1;32;male;;50.643254;14.843730;;02.03.2024;john johnson
hedgehog;czech republic;0.5;20;male;;50.643854;14.837155;;02.03.2024;john johnson
hedgehog;czech republic;1.1;22;female;;50.635584;14.837072;;02.03.2024;john johnson
hedgehog;czech republic;1;20;female;;50.642723;14.837229;;02.03.2024;john johnson
hedgehog;czech republic;0.7;13;female;;50.639389;14.844400;;02.03.2024;john johnson
lynx;slovakia;30;120;male;;48.409308;18.832606;;02.03.2024;john johnson
red squirrel;hungry;0.262;20;female;;47.510799;18.945583;;03.03.2024;anne anthony
;;;;;;;;;03.03.2024;james johnson
hedgehog;czech republic;0.6;20;male;;50.637375;14.839785;;03.03.2024;john johnson
lynx;slovakia;28;131;male;;48.406304;18.842851;;03.03.2024;john johnson
red squirel;slovakia;0.281;18;male;;48.187690;17.086471;;03.03.2024;john johnson
european bison;poland;650;285;female;;52.834741;23.826716;;04.03.2024;anne anthony
hedgehog;hu;1.1;24;male;;48.503795;20.555932;;04.03.2024;anne anthony
hedgehog;hungary;1.1;26;not determined;;48.503062;20.551698;;04.03.2024;anne anthony
hedgehog;hungary;0.8;18;female;;48.503498;20.539662;;04.03.2024;anne anthony
hedgehog;hungary;1.2;26;male;;48.509298;20.551977;;04.03.2024;anne anthony
hedgehog;poland;0.9;22;male;;52.214679;21.033021;;04.03.2024;anne anthony
lynx;hungary;25;89;male;;48.504169;20.559452;;04.03.2024;anne anthony
red squirel;hungary;0.283;18;female;;48.505251;20.551473;;04.03.2024;anne anthony
red squirrel;hungary;0.307;-19;male;;;;;04.03.2024;anne anthony
red squirrel;hungary;0.296;22;male;;48.502584;20.532518;;04.03.2024;anne anthony
red squirrel;hungary;0.301;18;female;;48.505512;20.538038;;04.03.2024;anne anthony
red squirrel;hungary;0.295;17;male;;48.505780;20.546466;;04.03.2024;anne anthony
red squirrel;hungry;0.32;18;male;;48.502091;20.547521;;04.03.2024;anne anthony
red squirrel;hungary;0.28;19;female;;48.505494;20.536362;;04.03.2024;anne anthony
red squirrel;poland;0.33;24;male;;52.241203;21.050999;;04.03.2024;anne anthony
red squirrel;poland;0.3;22;female;;52.240018;21.052390;lola;04.03.2024;anne anthony
red squirrel;poland;0.283;17;female;;52.239931;21.056703;;04.03.2024;anne anthony
red squirrel;poland;0.341;21;male;;52.241856;21.053078;;04.03.2024;anne anthony
red squirrel;pl;0.35;24;male;;52.240453;21.055847;;04.03.2024;anne anthony
red squirrel;poland;0.291;21;;;52.241662;21.056430;;04.03.2024;anne anthony
red squirrel;poland;0.329;22;female;;52.241638;21.055998;lola;04.03.2024;anne anthony
red squirrell;hu;0.327;18;female;;48.502803;20.548668;;04.03.2024;anne anthony
red squirrell;poland;0.35;24;male;;52.240497;21.055991;;04.03.2024;anne anthony
hedgehog;czech republic;0.6;17;male;;50.635501;14.838158;;04.03.2024;john johnson
hedgehog;czech republic;0.9;22;female;;50.638142;14.849689;;04.03.2024;john johnson
red squirrel;czech republic;0.289;21;female;;49.937872;14.179825;;04.03.2024;john johnson
red squirrel;slovakia;0.297;20;female;;48.185194;17.083142;;04.03.2024;john johnson
lynx;hu;24;79;male;;48.503043;20.561567;;05.03.2024;anne anthony
red squirrel;poland;0.301;23;female;;52.240867;21.054339;;05.03.2024;anne anthony
red squirrel;poland;0.344;20;male;;52.240522;21.057552;;05.03.2024;anne anthony
red squirrel;hungary;0.253;-19;male;;47.507002;18.950091;;05.03.2024;anne anthony
red squirrel;hungary;0.293;18;female;;47.507557;18.942066;;05.03.2024;anne anthony
;austria;0.263;22;male;;;;;05.03.2024;bob bobson
hedgehog;czech;0.9;19;female;;50.107284;14.346127;;05.03.2024;john johnson
lynx?;slovakia;23;97;female;;48.413226;18.848128;;05.03.2024;john johnson
red squirel;slovakia;0.333;23;male;;48.409023;18.843990;;05.03.2024;john johnson
red squirrel;slovakia;0.32;17;male;;48.406733;18.838754;;05.03.2024;john johnson
red squirrel;slovakia;0.266;18;female;;48.404590;18.846849;;05.03.2024;john johnson
red squirrel;slovakia;0.306;22;male;;48.408318;18.844383;;05.03.2024;john johnson
red squirrel;slovakia;0.311;22;male;;48.412458;18.832425;;05.03.2024;john johnson
red squirrel;slovakia;0.291;22;female;;48.406551;18.837137;;05.03.2024;john johnson
red squirrell;slovakia;0.259;19;male;;48.405516;18.850994;;05.03.2024;john johnson
european bison;poland;454;225;female;;52.834423;23.827103;;06.03.2024;anne anthony
hedgehog;poland;1.1;22;female;;52.214521;21.031889;;06.03.2024;anne anthony
hedgehog;poland;0.9;21;male;;52.214934;21.032106;;06.03.2024;anne anthony
lynx;hungry;18;81;female;;48.511532;20.539112;;06.03.2024;anne anthony
red squirrel;poland;0.343;23;male;;52.241638;21.057329;;06.03.2024;anne anthony
red squirrel;poland;0.274;22;female;;52.241235;21.057356;;06.03.2024;anne anthony
hedgehog;czech republic;0.6;17;female;;50.106942;14.348502;;06.03.2024;john johnson
hedgehog;czech republic;0.4;12;female;;50.107223;14.34732;;06.03.2024;john johnson
hedgehog;czech republic;1.1;26;male;;50.106379;14.347645;;06.03.2024;john johnson
hedgehog;czech republic;0.8;22;male;;50.106579;14.346283;;06.03.2024;john johnson
red squirrel;slovakia;0.334;21;male;;48.188008;17.085312;;06.03.2024;john johnson
red squirrell;slovakia;0.307;23;female;;48.185298;17.084072;;06.03.2024;john johnson
european bison;poland;862;312;male;;52.831879;23.826297;;07.03.2024;anne anthony
hedgehog;hungary;;;female;;48.506206;20.565308;;07.03.2024;anne anthony
hedgehog;hungary;0.5;16;male;;48.505090;20.539448;;07.03.2024;anne anthony
hedgehog;hungary;0.8;23;female;;48.504425;20.548744;;07.03.2024;anne anthony
hedgehog;hungary;0.7;18;female;;48.505617;20.541054;;07.03.2024;anne anthony
hedgehog;hungry;1.2;23;male;;48.503254;20.555951;;07.03.2024;anne anthony
hedgehog;hungry;0.5;15;male;;48.502359;20.563385;;07.03.2024;anne anthony
hedgehog;hungary;0.6;18;female;;48.511048;20.567209;;07.03.2024;anne anthony
lynx;hungary;29;109;male;;48.501574;20.532455;;07.03.2024;anne anthony
lynx;poland;26;85;female;;52.808579;23.843768;;07.03.2024;anne anthony
red squirrel;hu;0.296;19;male;;-2.023546;34.896734;;07.03.2024;anne anthony
red squirrel;hungary;0.3;23;male;;48.505406;20.535848;;07.03.2024;anne anthony
red squirrel;hungary;0.286;18;female;;48.503917;20.536503;;07.03.2024;anne anthony
red squirrel;poland;0.318;21;male;;52.240616;21.054902;;07.03.2024;anne anthony
european bison;czech republic;716;303;male;;50.636161;14.846951;;07.03.2024;john johnson
european bison™;czech republic;541;212;female;;50.642592;14.850140;;07.03.2024;john johnson
european bisson;czech republic;30;100;female;;50.636423;14.847287;;07.03.2024;john johnson
ledgehod;czech republic;0.7;20;female;;50.106607;14.347909;;07.03.2024;john johnson
ledgehod;czech republic;0.7;20;female;;50.106925;14.346629;;07.03.2024;john johnson
ledgehod;czech republic;1.2;26;male;;50.107284;14.347676;;07.03.2024;john johnson
red squirrel;czech republic;0.273;17;female;;49.938634;14.181813;;07.03.2024;john johnson
hedgehog;hungary;1;24;female;;48.506913;20.540427;;08.03.2024;anne anthony
hedgehog;poland;0.8;19;female;;52.214365;21.031462;;08.03.2024;anne anthony
red squirrel;hungary;0.261;19;female;;47.507023;18.940532;;08.03.2024;anne anthony
hedgehog;czech republic;0.8;22;male;;50.106811;14.348513;;08.03.2024;john johnson
hedgehog;czech republic;1.1;23;male;;50.107278;14.348461;;08.03.2024;john johnson
european bison;poland;621;277;female;;52.828561;23.816861;;09.03.2024;anne anthony
european bison;poland;385;168;female;;52.833261;23.815203;;09.03.2024;anne anthony
hedgehog;poland;0.6;-19;male;;52.214410;21.032484;;09.03.2024;anne anthony
hedgehog;poland;0.8;22;female;;52.214452;21.034505;;09.03.2024;anne anthony
lynx;hungary;12;61;female;;48.508239;20.567914;;09.03.2024;anne anthony
lynx;hungary;23;73;female;;48.507503;20.551726;;09.03.2024;anne anthony
lynx;pl;20;95;female;;52.814984;23.840681;;09.03.2024;anne anthony
lynx;poland;18;63;male;;52.812647;23.863299;;09.03.2024;anne anthony
red squirrel;poland;0.302;22;male;;52.241375;21.050845;;09.03.2024;anne anthony
red squirrell;hungary;0.284;20;female;;47.509380;18.949607;;09.03.2024;anne anthony
hedgehog;czech republic;0.9;22;female;;50.106583;14.346471;;09.03.2024;john johnson
hedgehog;czech republic;1.1;23;male;;50.106960;14.346126;;09.03.2024;john johnson
hedgehog;czech republic;0.6;19;male;;50.106311;14.346906;;09.03.2024;john johnson
red squirrel;czech republic;0.293;19;male;;49.937416;14.181449;;09.03.2024;john johnson
hedgehog;hungary;0.9;20;female;;48.511080;20.567192;;10.03.2024;anne anthony
hedgehog;hungary;0.9;21;male;;48.505290;20.566169;;10.03.2024;anne anthony
hedgehog;hungary;1.1;26;male;;48.502486;20.562565;;10.03.2024;anne anthony
lynx;hungary;23;77;female;;48.509272;20.551952;;10.03.2024;anne anthony
lynx;hungry;15;71;male;;48.501180;20.557432;;10.03.2024;anne anthony
hedgehog;czech republic;0.8;17;male;;49.938707;14.182507;;10.03.2024;john johnson
hedgehog;czech republic;0.5;18;female;;49.937531;14.180359;;10.03.2024;john johnson
hedgehog;czech republic;0.7;17;female;;49.937890;14.180882;;10.03.2024;john johnson
hedgehog;czech republic;0.5;15;female;;49.937340;14.18071;;10.03.2024;john johnson
european bison;poland;24;100;female;;52.834112;23.825722;;11.03.2024;anne anthony
hedgehog;hungary;0.9;19;female;;48.505634;20.543417;;11.03.2024;anne anthony
hedgehog;poland;0.8;16;female;;52.214968;21.030987;;11.03.2024;anne anthony
lynx;hungary;20;90;female;;48.501938;20.567814;;11.03.2024;anne anthony
red squirel;hungary;0.322;21;male;;48.506217;20.545055;;11.03.2024;anne anthony
red squirrel;hu;0.282;21;male;;-2.023546;34.896734;;11.03.2024;anne anthony
red squirrel;hungary;0.311;22;female;;48.505737;20.546731;;11.03.2024;anne anthony
red squirrel;hungary;0.336;22;female;;48.506095;20.543032;;11.03.2024;anne anthony
red squirrel;hungary;0.29;21;male;;48.506429;20.543875;;11.03.2024;anne anthony
red squirrel;hungary;0.293;20;male;;48.505860;20.547649;;11.03.2024;anne anthony
red squirrel;hungary;0.335;19;female;;48.502521;20.558578;;11.03.2024;anne anthony
red squirrel;hungary;0.339;19;female;;48.503752;20.558664;;11.03.2024;anne anthony
red squirrel;poland;0.304;22;;;52.241093;21.055413;;11.03.2024;anne anthony
red squirel;czech republic;0.271;18;male;;49.937391;14.179566;;11.03.2024;john johnson
european bisson;poland;315;175;male;;52.829512;23.811681;;12.03.2024;anne anthony
red squirrel;poland;0.316;24;male;;52.240707;21.057051;;12.03.2024;anne anthony
red squirrel;hungry;;;female;;47.508454;18.949343;;12.03.2024;anne anthony
hedgehog;czech republic;0.6;20;male;;49.938169;14.178703;;12.03.2024;john johnson
hedgehog;czech;0.4;17;male;;49.938527;14.179315;;12.03.2024;john johnson
red squirrel;czech republic;0.324;23;female;;49.937724;14.182072;;12.03.2024;john johnson
hedgehog;hungary;0.6;14;female;;48.506262;20.547343;;13.03.2024;anne anthony
hedgehog;poland;0.8;24;male;;52.214734;21.031915;;13.03.2024;anne anthony
lynx?;hungary;20;86;male;;48.504717;20.558726;;13.03.2024;anne anthony
red squirrel;poland;0.36;23;female;;52.241510;21.052575;basia;13.03.2024;anne anthony
red squirrel;hungary;0.26;18;male;;47.505768;18.943674;;13.03.2024;anne anthony
red squirrel;germany;0.335;18;male;;48.161549;11.493041;bob bobson;13.03.2024;bob bobson
hedgehog;czech republic;0.6;15;female;;49.939297;14.181453;;13.03.2024;john johnson
red squirel;slovakia;0.288;18;female;;48.185953;17.08393;;13.03.2024;john johnson
european bison;poland;610;258;female;;52.821135;23.809947;;14.03.2024;anne anthony
hedgehog;hungary;0.7;21;female;;48.509199;20.552447;;14.03.2024;anne anthony
hedgehog;poland;1;21;female;;52.213985;21.030841;;14.03.2024;anne anthony
hedgehog;pl;0.8;15;female;;52.213877;21.030861;;14.03.2024;anne anthony
red squirrel;poland;0.32;21;female;;52.241309;21.057247;;14.03.2024;anne anthony
red squirrell;hungary;0.287;23;female;;47.508679;18.946127;;14.03.2024;anne anthony
hedgehog;australia;0.8;24;not determined;;47.781689;14.386777;;14.03.2024;bob bobson
hedgehog;austria;0.7;19;female;;47.781139;14.382004;;14.03.2024;bob bobson
hedgehog;austria;0.8;20;male;;47.781828;14.385001;;14.03.2024;bob bobson
hedgehog;austria;0.6;14;female;;47.781060;14.386807;;14.03.2024;bob bobson
hedgehog;austria;0.7;24;male;;47.780872;14.38446;;14.03.2024;bob bobson
hedgehog;austria;0.8;21;female;;47.781117;14.38608;;14.03.2024;bob bobson
lynx;austria;22;80;female;;47.780779;14.384918;;14.03.2024;bob bobson
lynx;austria;23;86;male;;47.781257;14.383099;;14.03.2024;bob bobson
hedgehog;czech republic;0.9;16;female;;49.938490;14.1802;;14.03.2024;john johnson
hedgehog;poland;0.9;22;male;;52.214498;21.034201;;15.03.2024;anne anthony
lynx;poland;16;70;male;;52.803129;23.844358;;15.03.2024;anne anthony
hedgehog;czech republic;0.7;21;female;;49.938132;14.181225;;15.03.2024;john johnson
red squirel;slovakia;0.294;23;male;;48.184374;17.086;;15.03.2024;john johnson
red squirrel;czech republic;0.267;18;female;;49.938860;14.182738;;15.03.2024;john johnson
red squirrel;czech republic;0.328;19;male;;49.938357;14.177929;;15.03.2024;john johnson
european bison;poland;35;125;female;;52.820739;23.815145;;16.03.2024;anne anthony
hedgehog;hungary;0.6;23;male;;48.501763;20.547976;;16.03.2024;anne anthony
lynx;poland;16;72;male;;52.814211;23.834358;;16.03.2024;anne anthony
lynx;poland;18;81;female;;52.802757;23.835199;;16.03.2024;anne anthony
red squirrel;poland;0.346;19;male;;52.240529;21.053603;;16.03.2024;anne anthony
red squirrel;hungary;0.27;22;female;;47.509866;18.942538;;16.03.2024;anne anthony
red squirrel;slovakia;0.326;19;female;;48.185585;17.091365;;16.03.2024;john johnson
european bison;poland;915;304;male;;52.822880;23.810852;;17.03.2024;anne anthony
hedgehog;hungary;0.7;15;female;;48.504773;20.536543;;17.03.2024;anne anthony
hedgehog;poland;0.6;15;female;;52.214745;21.033701;;17.03.2024;anne anthony
red squirrel;hungary;0.278;21;female;;47.510304;18.942925;;17.03.2024;anne anthony
red squirrel;slovakia;0.322;23;female;;49.056857;22.416369;;17.03.2024;john johnson
red squirrel;slovakia;0.302;23;male;;48.412370;18.875325;;17.03.2024;john johnson
red squirrel;slovakia;0.334;20;female;;48.406983;18.863197;;17.03.2024;john johnson
red squirrel;slovakia;0.28;19;male;;48.411486;18.867730;;17.03.2024;john johnson
red squirrell;slovakia;0.289;18;male;;48.410536;18.870325;;17.03.2024;john johnson
european bison;poland;537;287;female;;52.825500;23.808386;;18.03.2024;anne anthony
red squirrel;poland;0.346;23;male;;52.240737;21.053063;;18.03.2024;anne anthony
hedgehog;czech republic;1.2;26;male;;49.938547;14.180402;;18.03.2024;john johnson
hedgehog;cz;0.9;17;male;;49.937429;14.18264;;18.03.2024;john johnson
red squirrel;czech republic;0.32;18;female;;49.938634;14.179739;;18.03.2024;john johnson
red squirrel;czech republic;0.266;17;male;;49.939062;14.177939;;18.03.2024;john johnson
hedgehog;hungary;1.1;19;female;;48.502512;20.563331;;19.03.2024;anne anthony
hedgehog;poland;0.4;16;male;;52.214758;21.030697;;19.03.2024;anne anthony
hedgehog;austria;1.1;21;female;;47.781212;14.384017;;19.03.2024;bob bobson
hedgehog;austria;0.7;25;male;;47.781764;14.38328;;19.03.2024;bob bobson
hedgehog;austria;1.1;24;male;;47.781883;14.382628;;19.03.2024;bob bobson
hedgehog;austria;0.4;21;female;;47.781093;14.38209;;19.03.2024;bob bobson
hedgehog;germany;0.8;16;male;;52.585958;13.147098;bob bobson;19.03.2024;bob bobson
